year	jan	feb	mar	apr	may	jun	jul	aug	sep	oct	nov	dec
1931	0.04	0.84	1.58	0.88	0.37	1.23	0.55	0.44	0.51	0.25	0.34	0.22
1932	0.1	0.07	0.59	1.3	1.34	3.08	1.74	1.18	0.31	0.83	0.2	0.25
1933	0	0.05	0.69	3.02	1.71	0.67	1.18	2.08	1.38	0	0.06	0.96
1934	0.01	1.6	0.37	0.45	0.74	0.57	1.49	1.13	0.48	0	0.32	0.07
1935	0.02	0.37	0.4	4.26	5.34	0.67	0.63	1.59	1.63	0.26	0.27	0.08
1936	0.35	0.16	0.35	1.35	3	1.9	4.36	1.64	2.85	1.16	0.03	0.62
1937	0.12	0.29	0.32	0.58	1.4	2.37	0.56	1.57	0.24	0.08	0.47	1.12
1938	0.22	0.03	0.89	5.24	3.13	1.27	2.71	1.99	5.67	0.03	1.05	0.42
1939	0.57	1.1	0.82	1.28	0.38	0.76	0.44	1.26	0.06	0.24	0.1	0.25
1940	0.52	0.17	2.02	1.46	2.6	0.47	3.26	1.05	2.99	0.22	0.56	0.24
1941	0.76	0.29	1.14	2.47	3.54	2.68	2.12	1.87	2.78	2.09	0.62	1.02
1942	1.39	0.74	0.49	5.23	1.36	2.71	1.63	1.08	1.46	4.08	0.37	0.52
1943	0.42	0.24	0.37	1.16	3.86	1.03	0.87	1.11	0.07	0.09	0.26	0.53
1944	0.76	0.58	1.66	3.89	2.12	1.12	1.62	0.79	0.21	0.09	0.99	0.35
1945	0.95	0.28	0.76	2.88	3.44	2.63	1.11	3.9	1.7	0.51	0.56	0.25
1946	0.28	0.52	1.1	1.11	1.74	1.34	4.34	1.89	2.08	1.01	2.65	0.1
1947	0.21	0.39	0.7	1	5.08	2.73	2.87	1.02	0.26	1.62	0.76	0.37
1948	0.75	0.27	0.93	1.65	3.3	2.28	1.21	1.13	0.11	0.29	0.36	0.28
1949	1.05	0	1.79	1.08	2.93	4.03	1.45	1.69	0.45	0.49	0.02	0.1
1950	0.29	0.62	0.31	2.27	2.36	1.95	1.64	0.34	1.08	0.01	0.57	0.2
1951	0.77	0.46	0.3	2.12	0.84	1.82	1.01	5.93	1.01	1.53	0.92	0.4
1952	0	0.61	1.51	1.98	3.04	0.91	1.01	2.14	0.23	0.25	1.01	0.14
1953	0.45	0.76	0.43	0.66	2.17	2.08	2.93	0.61	0.06	0.23	0.5	0.44
1954	0.1	0.05	0.79	0.34	0.55	0.3	1.93	0.85	0.79	0.11	0.1	0.4
1955	0.18	0.42	0.55	0.58	2.08	1.14	1.16	2.97	1.49	0.36	0.44	0.1
1956	0.4	0.38	0.46	0.28	0.71	0.1	3.72	0.45	0.2	0.44	1.45	0.59
1957	0.48	0.27	0.51	3.88	5.98	0.82	2.86	2.23	1.1	1.14	0.39	0.05
1958	0.55	0.58	0.89	1.24	3.79	1.45	4.92	0.08	1.47	0.47	0.36	0.48
1959	0.88	0.61	2.39	0.98	4.2	1.02	1.13	0.82	1.47	2.09	0.22	0.1
1960	0.57	1	0.88	1.3	2.49	1.17	2.24	0.01	0.39	1.99	0.15	0.9
1961	0	0.26	1.95	0.76	1.96	1.34	2.38	2.3	3.75	0.5	0.38	0.24
1962	0.84	0.44	0.43	1.1	1.57	5.62	0.81	0.47	0.52	0.75	0.42	0.14
1963	0.7	0.14	1.27	0.97	0.28	2.31	0.85	3.24	4.69	0.13	0.22	0.38
1964	0.29	0.76	0.8	0.97	2.99	1.95	1.64	1.91	1.47	0.12	0.31	0.15
1965	0.85	0.87	1.22	0.38	1.79	8.01	2.28	1.52	1.99	0.97	0	0.7
1966	0.54	0.44	0.77	1.04	0.46	1.22	2.62	2.11	4.78	1.58	0.15	0.08
1967	0.66	0.29	0.82	2.46	5.53	4.76	4.57	0.81	1.36	0.67	0.67	1.05
1968	0.28	0.35	0.47	1.53	1.88	0.86	2.41	1.83	0.36	0.5	0.76	0.27
1969	0.24	0.18	0.72	0.81	5.85	2.71	3.8	2.95	1.52	4.22	0.34	0.42
1970	0.02	0.01	1.15	0.95	1.03	1.9	2.07	1.73	1.5	0.91	0.78	0.1
1971	0.52	0.88	0.49	1.72	1.14	0.74	0.91	2.26	2.2	0.12	0.31	0.06
1972	0.47	0.17	0.49	2.09	2.84	3.02	1.11	2.17	2.16	0.27	2.74	0.62
1973	0.86	0	1.77	1.62	5.8	1	1.07	0.28	3.44	0.7	0.54	1.6
1974	0.36	0.49	1.37	1.71	0.17	3.07	3.53	0.42	0.37	0.81	0.72	0.17
1975	0.11	0.23	0.2	1.06	6.06	1.62	1.93	0.83	0.08	0.07	1.41	0.1
1976	0.27	0.31	0.57	1.4	3.72	0.96	2.38	0.94	2.1	0.69	0.27	0.08
1977	0.12	0.11	0.74	2.49	1.25	2.06	4.37	0.64	0.03	0.02	0.6	0.17
1978	0.27	0.31	0.22	0.94	3.75	2.59	1.05	0.82	0	1.14	0.42	0.73
1979	0.44	0.19	2.35	1.7	1.9	1.74	1.24	3.38	0.25	0.83	2.01	0.61
1980	0.61	0.25	1.01	1.58	2.93	0.46	2.64	1.74	1.3	0.03	0.68	0
1981	0.15	0.33	3.34	0.98	4.19	1.64	1.84	1.7	0.09	0.77	0.11	0.29
1982	0.31	0.17	0.13	0.32	4.07	2.95	1.17	2.2	1.9	0.78	0.89	1.3
1983	0	0.21	3.02	2.14	3.08	2.7	2.11	3.35	0.06	0.18	1.75	0.48
1984	0.25	0.91	1.09	3.54	1.58	0.92	1.37	4.17	0.46	3.73	0.21	0.31
1985	0.57	0.49	0.54	1.43	2.65	1.69	5.17	0.52	2.95	0.29	0.82	0.45
1986	0.12	0.21	0.41	2.46	1.7	1.67	2.6	1.88	1.05	1.01	0.38	0.58
1987	0.34	1.01	0.88	0.62	4.97	2.4	1.01	2.3	0.91	0.46	1.07	0.81
1988	0.48	0.28	0.77	0.57	4.33	1.21	1.28	0.98	1.16	0	0.13	0.61
1989	1.15	0.44	0.46	0.45	2.42	2.36	1.95	0.9	0.94	0.45	0.1	0.52
1990	0.97	0.18	1.93	0.64	1.59	0.52	2.11	2.42	1.16	1.12	1.13	0.07
1991	0.22	0	0.92	0.69	2.07	2.71	5.93	1.79	0.89	0.46	1.96	0.19
1992	0.88	0.04	2.97	0.67	0.52	3.01	2.71	2.78	0.04	0.21	0.97	0.42
1993	0.5	0.73	0.32	1.82	1.22	3.29	2.82	1.63	1.79	1.66	0.97	0.22
1994	0.71	0.22	0.33	2.01	1.3	0.71	0.64	1.82	0.37	2.28	0.49	0.24
1995	0.4	0.48	0.59	2.45	5.08	4.07	0.91	0.76	2.37	0.45	0.61	0.13
1996	0.4	0.13	1.06	0.94	2.89	1.56	4.86	1.96	2.55	0.32	0.3	0.12
1997	0.58	0.46	0.43	1.29	1.59	1.99	3.92	4.82	0.19	2.47	0.87	0.83
1998	0.16	0.53	0.53	1.06	1.46	1.22	3.75	0.32	0.64	1.8	0.62	0.31
1999	0.38	0.33	0.32	5.12	4.44	1.17	0.77	2.35	0.98	0.31	0.33	0.44
2000	0.29	0.36	2	1.44	2.07	0.72	2.84	3.5	1.48	1.29	0.77	0.41
2001	0.38	0.56	1.61	2.25	4.57	1.03	2.75	0.99	1.53	0.26	1.64	0.12
2002	0.31	0.28	0.98	0.26	0.91	2.21	0.14	0.66	0.87	0.69	0.3	0.07
2003	0.23	0.69	3.48	1	1.45	2.54	0.74	2.86	0.12	0.15	0.14	0.51
2004	0.34	0.54	0.73	2.2	2.43	2.78	2.81	1.03	0.78	0.74	1.15	0.29
2005	0.66	0.04	1.1	3.07	0.81	3.36	1.8	2.19	0.23	3.02	0.57	0.43
2006	0	0.15	1.97	0.59	1.03	0.96	3.16	2.3	1.17	2.11	0.22	1.67
2007	0.66	0.53	0.43	3.62	2.85	2.03	1.69	3.26	0.6	0.4	0.27	0.99
2008	0.3	0.63	0.29	0.64	1.2	1.18	1.1	5.85	0.9	0.67	0.68	0.45
2009	0.27	0.07	0.92	3.66	2.84	3.11	2.52	1.95	1.34	2.03	0.7	0.66
2010	0.07	0.55	1.1	2.69	1.57	3.1	3.29	1.42	0.05	0.22	0.51	0.31
2011	0.68	0.49	0.15	0.98	4.07	0.95	2.54	0.47	1.57	1.34	0.72	0.56
2012	0.19	1.83	0	2.3	0.65	0.93	2.09	0.23	1.54	1.11	0.45	0.32
2013	0.25	0.89	1.47	1.29	1.56	1.41	2.48	2.54	4.77	1	0.28	0.08
2014	0.51	0.26	0.72	1.84	3.96	3.47	3.37	3.26	2	0.2	0.78	0.6
2015	0.28	1.03	0.36	3	9.77	2.67	1.36	1.99	0.44	0.94	1.69	0.84
2016	0.46	0.91	1.03	2.76	5.05	1.85	2.1	2.29	0.12	0.18	0.63	0.45


