year	jan	feb	mar	apr	may	jun	jul	aug	sep	oct	nov	dec
1932	1.5	1.38	1.33	2.21	1.81	1.48	1.92	2.1	1.9	1.42	1.61	1.65
1933	1.5	1.37	1.27	1.05	1.26	1.82	2.03	1.41	2	2.94	2.71	3.57
1934	3.3	3.16	2.89	4.1	3.64	3.8	4.17	3.81	3.05	3.96	4.01	3.66
1935	3.38	3.15	2.89	2.27	2	4.02	4.26	4.1	3.57	3.33	3.06	2.77
1936	2.55	2.35	2.16	3.3	2.92	3.16	3.73	3.6	3.34	2.32	2.41	2.19
1937	2	1.85	1.74	2.19	1.85	1.32	1.88	2.97	3.16	3.08	2.92	2.66
1938	2.45	2.25	2.08	2.68	2.05	1.85	1.27	1.83	1.24	1.64	1.35	1.18
1939	1.08	1.05	1	1.46	1.29	1.49	2.35	2.2	2.72	3.14	3.04	3.48
1940	3.22	2.98	2.84	3.19	2.74	3.03	3.12	3.08	2.75	3.19	2.9	2.63
1941	2.45	2.27	2.17	1.76	2.29	-0.19	-0.33	-0.31	-0.36	-0.6	0.37	0.39
1942	0.39	0.38	0.38	1.57	-0.12	-0.23	-0.24	-0.3	-0.43	-0.54	0.38	0.3
1943	0.26	0.25	0.24	2.17	1.5	1.12	1.49	2.24	2.17	2.3	2.43	-0.02
1944	0	0.01	0.11	-0.46	0.8	-0.2	-0.39	0.38	0.69	1.16	1.27	-0.03
1945	-0.03	-0.03	-0.03	-0.44	-0.26	-0.55	-0.77	-0.93	-1.06	0.51	0.7	0.56
1946	0.5	0.48	0.43	3	-0.2	-0.09	-0.17	-0.31	-0.37	-0.47	-0.55	-0.56
1947	-0.57	-0.56	-0.54	-0.7	-0.54	-0.8	-0.91	0.53	1.35	1.93	1.6	1.41
1948	1.31	1.2	1.17	2.77	2.42	2.04	1.84	2.33	2.94	2.93	2.68	2.42
1949	2.27	2.08	2.02	2.43	-0.12	-0.25	-0.2	-0.09	-0.05	-0.15	-0.45	1
1950	0.91	0.87	0.8	1.46	-0.15	-0.13	-0.5	-0.67	-0.9	1.91	1.84	-0.02
1951	-0.02	-0.02	-0.02	-0.27	0.66	-0.46	-0.51	-0.65	-0.73	-0.97	-0.99	-1
1952	-1	0.01	0.1	0.09	0.06	0.68	0.76	0.85	1.56	1.98	-0.08	-0.11
1953	-0.1	-0.09	-0.1	-0.4	0.41	0.83	1.04	0.55	1.38	1.73	1.92	1.71
1954	1.56	1.45	1.39	3.97	3.43	3.97	4.62	4.73	5.08	4.83	4.67	4.82
1955	4.45	4.13	3.84	4.85	4.4	3.6	4.29	4.35	4.15	4.42	4.09	3.73
1956	3.46	3.21	2.98	2.9	2.78	3.81	3.26	2.21	3.15	4.05	-0.07	-0.09
1957	-0.09	-0.09	-0.08	-0.52	-0.38	-0.51	-0.58	-0.59	-0.67	-0.82	-0.86	-0.86
1958	-0.85	-0.83	-0.8	-0.99	0.93	1.26	-0.27	0.77	1.09	1.41	1.51	1.34
1959	1.25	1.17	1.21	1.06	1.2	1.62	1.6	1.94	-0.06	-0.34	-0.32	-0.33
1960	-0.32	0.03	0.07	1.24	0.87	1.02	0.59	1.3	1.72	1.72	1.77	1.58
1961	1.43	1.32	1.33	0.78	1.5	0	-0.12	-0.15	-0.51	-0.55	-0.59	-0.61
1962	0	0	0.02	1.46	1.4	1.03	0.6	1.24	1.21	1.67	1.83	1.64
1963	1.52	1.4	1.35	2.7	2.65	2.83	3.53	2.77	3.07	3.94	4	3.65
1964	3.37	3.15	2.98	3.22	2.93	2.56	2.97	2.62	2.5	2.76	2.66	2.4
1965	2.25	2.12	2.06	3.55	-0.05	-0.26	-0.38	-0.54	-0.97	0.76	0.63	1.62
1966	1.49	1.39	1.26	1.62	1.62	1.67	2.2	-0.19	-0.21	-0.22	-0.12	-0.15
1967	-0.14	-0.14	-0.15	-2.05	-2.17	-2.5	-2.83	-3.05	-3.1	-2.92	-2.83	-2.8
1968	-2.77	-2.73	-2.7	-2.77	-2.58	-2.34	-2.43	-2.54	-2.42	-2.16	-2.16	-2.15
1969	-2.13	-2.1	-2.05	-1.38	-1.42	-1.7	-1.66	-1.48	-1.37	-1.98	-2.12	-2.12
1970	-2.1	-2.07	-2.02	-2.1	-1.75	-1.82	-1.86	-1.65	-1.66	-1.95	-1.88	-1.87
1971	-1.85	-1.81	-1.78	-1.62	-1.76	-1.54	-1.66	-1.52	-1.78	-1.78	-1.71	-1.72
1972	-1.7	-1.68	-1.67	-3.81	-3.85	-3.76	-3.9	-3.93	-4	-4.02	-4.07	-4.03
1973	-3.97	-3.92	-3.83	-4.05	-3.82	-3.75	-3.91	-3.64	-3.84	-3.67	-3.61	-3.57
1974	-3.53	-3.47	-3.41	-3.3	-3.23	-3.14	-3.04	-3.19	-3.29	-3.11	-3.07	-3.05
1975	-3.02	-2.98	-2.94	-2.9	-2.86	-2.93	-2.94	0.43	0.12	1.04	0.89	0.75
1976	0.67	0.63	0.59	1.51	-0.1	-0.12	-0.06	-0.05	-0.2	-0.39	-0.37	-0.38
1977	-0.38	-0.36	0.01	0.73	0.64	1.14	1.17	0.6	1.4	1.72	1.63	1.45
1978	1.32	1.21	1.09	2.1	1.53	1.35	1.77	1.48	2.07	2.43	2.24	2.01
