year,month,temp,precip
1931,1,45.3,0.04
1931,2,49.5,0.84
1931,3,48.5,1.58
1931,4,62.7,0.88
1931,5,72,0.37
1931,6,88,1.23
1931,7,93.3,0.55
1931,8,89.4,0.44
1931,9,84.7,0.51
1931,10,70.3,0.25
1931,11,50.4,0.34
1931,12,45.4,0.22
1932,1,39,0.1
1932,2,53.4,0.07
1932,3,44.2,0.59
1932,4,64.6,1.3
1932,5,72.4,1.34
1932,6,81.7,3.08
1932,7,92.7,1.74
1932,8,89.3,1.18
1932,9,79.1,0.31
1932,10,65.4,0.83
1932,11,58.3,0.2
1932,12,35.3,0.25
1933,1,46.9,0
1933,2,44.2,0.05
1933,3,56.4,0.69
1933,4,60,3.02
1933,5,68.1,1.71
1933,6,88.6,0.67
1933,7,91.8,1.18
1933,8,85.5,2.08
1933,9,83.2,1.38
1933,10,73.5,0
1933,11,60,0.06
1933,12,52.7,0.96
1934,1,52.4,0.01
1934,2,49.4,1.6
1934,3,59.7,0.37
1934,4,66.3,0.45
1934,5,73.8,0.74
1934,6,86.8,0.57
1934,7,93.1,1.49
1934,8,87.6,1.13
1934,9,76.3,0.48
1934,10,73.7,0
1934,11,57,0.32
1934,12,47.9,0.07
1935,1,53.5,0.02
1935,2,51.1,0.37
1935,3,58.5,0.4
1935,4,58.4,4.26
1935,5,58.3,5.34
1935,6,80.7,0.67
1935,7,92.6,0.63
1935,8,88.5,1.59
1935,9,77.9,1.63
1935,10,67.8,0.26
1935,11,51.2,0.27
1935,12,47.2,0.08
1936,1,43.9,0.35
1936,2,43.3,0.16
1936,3,56.3,0.35
1936,4,65.8,1.35
1936,5,74.1,3
1936,6,87,1.9
1936,7,93.7,4.36
1936,8,88.5,1.64
1936,9,79.3,2.85
1936,10,62.2,1.16
1936,11,56,0.03
1936,12,47.8,0.62
1937,1,28.2,0.12
1937,2,43.9,0.29
1937,3,49,0.32
1937,4,63.1,0.58
1937,5,73.5,1.4
1937,6,79.9,2.37
1937,7,93.2,0.56
1937,8,93.2,1.57
1937,9,81.7,0.24
1937,10,68.5,0.08
1937,11,53,0.47
1937,12,40.8,1.12
1938,1,41.6,0.22
1938,2,48,0.03
1938,3,57.8,0.89
1938,4,63.6,5.24
1938,5,68.5,3.13
1938,6,83.1,1.27
1938,7,88,2.71
1938,8,90.7,1.99
1938,9,76.3,5.67
1938,10,70.4,0.03
1938,11,47.7,1.05
1938,12,43.7,0.42
1939,1,40.3,0.57
1939,2,36.5,1.1
1939,3,51.7,0.82
1939,4,62.9,1.28
1939,5,75.6,0.38
1939,6,85.8,0.76
1939,7,94.6,0.44
1939,8,88,1.26
1939,9,83.2,0.06
1939,10,71,0.24
1939,11,59.2,0.1
1939,12,55.3,0.25
1940,1,34.1,0.52
1940,2,46.8,0.17
1940,3,55.9,2.02
1940,4,63,1.46
1940,5,72.7,2.6
1940,6,87.3,0.47
1940,7,91.6,3.26
1940,8,88.7,1.05
1940,9,78.6,2.99
1940,10,71.2,0.22
1940,11,50.6,0.56
1940,12,47.8,0.24
1941,1,47,0.76
1941,2,47.9,0.29
1941,3,48.9,1.14
1941,4,59.3,2.47
1941,5,72.6,3.54
1941,6,78.7,2.68
1941,7,88.1,2.12
1941,8,88,1.87
1941,9,78.2,2.78
1941,10,62.5,2.09
1941,11,57.9,0.62
1941,12,47.4,1.02
1942,1,39.6,1.39
1942,2,34.2,0.74
1942,3,48.4,0.49
1942,4,65.4,5.23
1942,5,70.5,1.36
1942,6,80.5,2.71
1942,7,90,1.63
1942,8,87,1.08
1942,9,76.8,1.46
1942,10,65,4.08
1942,11,57.7,0.37
1942,12,48.4,0.52
1943,1,46,0.42
1943,2,54.4,0.24
1943,3,50.7,0.37
1943,4,68.2,1.16
1943,5,67.1,3.86
1943,6,81.1,1.03
1943,7,92.3,0.87
1943,8,91.6,1.11
1943,9,80,0.07
1943,10,69.3,0.09
1943,11,56.4,0.26
1943,12,45.8,0.53
1944,1,46.4,0.76
1944,2,46,0.58
1944,3,45.9,1.66
1944,4,53,3.89
1944,5,74.9,2.12
1944,6,82.3,1.12
1944,7,87.4,1.62
1944,8,89.6,0.79
1944,9,81.3,0.21
1944,10,70.6,0.09
1944,11,54.8,0.99
1944,12,40.2,0.35
1945,1,40.3,0.95
1945,2,45.4,0.28
1945,3,56.3,0.76
1945,4,53.9,2.88
1945,5,69.7,3.44
1945,6,75.5,2.63
1945,7,87.1,1.11
1945,8,85.4,3.9
1945,9,76.7,1.7
1945,10,70.5,0.51
1945,11,55.5,0.56
1945,12,42.4,0.25
1946,1,45.9,0.28
1946,2,50.7,0.52
1946,3,59.2,1.1
1946,4,70.4,1.11
1946,5,65.9,1.74
1946,6,86,1.34
1946,7,89,4.34
1946,8,85.8,1.89
1946,9,78,2.08
1946,10,65.4,1.01
1946,11,42.8,2.65
1946,12,50.7,0.1
1947,1,44.7,0.21
1947,2,42.9,0.39
1947,3,50.4,0.7
1947,4,58.2,1
1947,5,68.9,5.08
1947,6,76.7,2.73
1947,7,88.5,2.87
1947,8,90.2,1.02
1947,9,84.2,0.26
1947,10,71.3,1.62
1947,11,47.2,0.76
1947,12,45.2,0.37
1948,1,40.4,0.75
1948,2,40.1,0.27
1948,3,47,0.93
1948,4,67.2,1.65
1948,5,73.9,3.3
1948,6,81.7,2.28
1948,7,90,1.21
1948,8,90.6,1.13
1948,9,83.7,0.11
1948,10,68.8,0.29
1948,11,51.3,0.36
1948,12,44.7,0.28
1949,1,30.3,1.05
1949,2,45.8,0
1949,3,51.3,1.79
1949,4,63,1.08
1949,5,70.5,2.93
1949,6,79.9,4.03
1949,7,90.8,1.45
1949,8,89.2,1.69
1949,9,80,0.45
1949,10,65.9,0.49
1949,11,64.9,0.02
1949,12,47.8,0.1
1950,1,45.7,0.29
1950,2,53.6,0.62
1950,3,53,0.31
1950,4,63.6,2.27
1950,5,68.8,2.36
1950,6,83.9,1.95
1950,7,84.9,1.64
1950,8,85.5,0.34
1950,9,75,1.08
1950,10,77.6,0.01
1950,11,53,0.57
1950,12,50.2,0.2
1951,1,38.7,0.77
1951,2,46.5,0.46
1951,3,51.7,0.3
1951,4,56.8,2.12
1951,5,72.8,0.84
1951,6,71.9,1.82
1951,7,89.4,1.01
1951,8,85.6,5.93
1951,9,77.9,1.01
1951,10,62.7,1.53
1951,11,49.7,0.92
1951,12,41.2,0.4
1952,1,47.4,0
1952,2,46.3,0.61
1952,3,47.5,1.51
1952,4,60.7,1.98
1952,5,69.8,3.04
1952,6,88.4,0.91
1952,7,90.9,1.01
1952,8,88.5,2.14
1952,9,83.7,0.23
1952,10,70.6,0.25
1952,11,46.2,1.01
1952,12,42.3,0.14
1953,1,50.9,0.45
1953,2,46.4,0.76
1953,3,57.9,0.43
1953,4,56.1,0.66
1953,5,68.6,2.17
1953,6,87.1,2.08
1953,7,91.4,2.93
1953,8,85.9,0.61
1953,9,84.2,0.06
1953,10,70.2,0.23
1953,11,56.7,0.5
1953,12,44.5,0.44
1954,1,41.5,0.1
1954,2,59.2,0.05
1954,3,48.6,0.79
1954,4,70.7,0.34
1954,5,72.1,0.55
1954,6,89.6,0.3
1954,7,94.4,1.93
1954,8,89.8,0.85
1954,9,83.2,0.79
1954,10,68.3,0.11
1954,11,58.9,0.1
1954,12,48.9,0.4
1955,1,39,0.18
1955,2,41.3,0.42
1955,3,53.6,0.55
1955,4,65.8,0.58
1955,5,74.7,2.08
1955,6,79.1,1.14
1955,7,94.5,1.16
1955,8,89.4,2.97
1955,9,80,1.49
1955,10,70.8,0.36
1955,11,51.6,0.44
1955,12,48.8,0.1
1956,1,46.8,0.4
1956,2,39.6,0.38
1956,3,53,0.46
1956,4,61.3,0.28
1956,5,76.8,0.71
1956,6,93.1,0.1
1956,7,88.8,3.72
1956,8,83.9,0.45
1956,9,85.4,0.2
1956,10,73.7,0.44
1956,11,47,1.45
1956,12,46.2,0.59
1957,1,36.6,0.48
1957,2,53.3,0.27
1957,3,50.7,0.51
1957,4,53.2,3.88
1957,5,67,5.98
1957,6,79.9,0.82
1957,7,88.9,2.86
1957,8,87.5,2.23
1957,9,77.8,1.1
1957,10,64.6,1.14
1957,11,48.7,0.39
1957,12,53.2,0.05
1958,1,47.1,0.55
1958,2,50.1,0.58
1958,3,44.2,0.89
1958,4,57.6,1.24
1958,5,76.8,3.79
1958,6,86.6,1.45
1958,7,86.3,4.92
1958,8,91.3,0.08
1958,9,81.5,1.47
1958,10,69.9,0.47
1958,11,55.1,0.36
1958,12,47.2,0.48
1959,1,43.5,0.88
1959,2,41.9,0.61
1959,3,51.5,2.39
1959,4,60.4,0.98
1959,5,70,4.2
1959,6,87.5,1.02
1959,7,90.7,1.13
1959,8,89.9,0.82
1959,9,78.4,1.47
1959,10,62,2.09
1959,11,52.2,0.22
1959,12,47,0.1
1960,1,37.4,0.57
1960,2,35.9,1
1960,3,50,0.88
1960,4,65.4,1.3
1960,5,71.6,2.49
1960,6,85.2,1.17
1960,7,88.5,2.24
1960,8,91.2,0.01
1960,9,82.3,0.39
1960,10,68.3,1.99
1960,11,54.8,0.15
1960,12,38.3,0.9
