year	jan	feb	mar	apr	may	jun	jul	aug	sep	oct	nov	dec
1931	45.3	49.5	48.5	62.7	72	88	93.3	89.4	84.7	70.3	50.4	45.4
1932	39	53.4	44.2	64.6	72.4	81.7	92.7	89.3	79.1	65.4	58.3	35.3
1933	46.9	44.2	56.4	60	68.1	88.6	91.8	85.5	83.2	73.5	60	52.7
1934	52.4	49.4	59.7	66.3	73.8	86.8	93.1	87.6	76.3	73.7	57	47.9
1935	53.5	51.1	58.5	58.4	58.3	80.7	92.6	88.5	77.9	67.8	51.2	47.2
1936	43.9	43.3	56.3	65.8	74.1	87	93.7	88.5	79.3	62.2	56	47.8
1937	28.2	43.9	49	63.1	73.5	79.9	93.2	93.2	81.7	68.5	53	40.8
1938	41.6	48	57.8	63.6	68.5	83.1	88	90.7	76.3	70.4	47.7	43.7
1939	40.3	36.5	51.7	62.9	75.6	85.8	94.6	88	83.2	71	59.2	55.3
1940	34.1	46.8	55.9	63	72.7	87.3	91.6	88.7	78.6	71.2	50.6	47.8
1941	47	47.9	48.9	59.3	72.6	78.7	88.1	88	78.2	62.5	57.9	47.4
1942	39.6	34.2	48.4	65.4	70.5	80.5	90	87	76.8	65	57.7	48.4
1943	46	54.4	50.7	68.2	67.1	81.1	92.3	91.6	80	69.3	56.4	45.8
1944	46.4	46	45.9	53	74.9	82.3	87.4	89.6	81.3	70.6	54.8	40.2
1945	40.3	45.4	56.3	53.9	69.7	75.5	87.1	85.4	76.7	70.5	55.5	42.4
1946	45.9	50.7	59.2	70.4	65.9	86	89	85.8	78	65.4	42.8	50.7
1947	44.7	42.9	50.4	58.2	68.9	76.7	88.5	90.2	84.2	71.3	47.2	45.2
1948	40.4	40.1	47	67.2	73.9	81.7	90	90.6	83.7	68.8	51.3	44.7
1949	30.3	45.8	51.3	63	70.5	79.9	90.8	89.2	80	65.9	64.9	47.8
1950	45.7	53.6	53	63.6	68.8	83.9	84.9	85.5	75	77.6	53	50.2
1951	38.7	46.5	51.7	56.8	72.8	71.9	89.4	85.6	77.9	62.7	49.7	41.2
1952	47.4	46.3	47.5	60.7	69.8	88.4	90.9	88.5	83.7	70.6	46.2	42.3
1953	50.9	46.4	57.9	56.1	68.6	87.1	91.4	85.9	84.2	70.2	56.7	44.5
1954	41.5	59.2	48.6	70.7	72.1	89.6	94.4	89.8	83.2	68.3	58.9	48.9
1955	39	41.3	53.6	65.8	74.7	79.1	94.5	89.4	80	70.8	51.6	48.8
1956	46.8	39.6	53	61.3	76.8	93.1	88.8	83.9	85.4	73.7	47	46.2
1957	36.6	53.3	50.7	53.2	67	79.9	88.9	87.5	77.8	64.6	48.7	53.2
1958	47.1	50.1	44.2	57.6	76.8	86.6	86.3	91.3	81.5	69.9	55.1	47.2
1959	43.5	41.9	51.5	60.4	70	87.5	90.7	89.9	78.4	62	52.2	47
1960	37.4	35.9	50	65.4	71.6	85.2	88.5	91.2	82.3	68.3	54.8	38.3
1961	42.6	49.5	50.3	58.4	74.5	83.6	88.5	87.4	72.5	66.8	49.2	40.3
1962	37	46.6	50.1	66.4	77.3	81	88.5	90.9	79.8	70.7	56.3	49.6
1963	33.8	50.9	52.6	66.4	78.7	86.4	94.3	85.3	82	73.5	57.2	43.5
1964	46.9	42.7	48.1	62.6	75.5	82.1	92.9	87.2	79.8	70.1	53.6	47.4
1965	50.4	45	42.6	67.1	74	77.88	88.4	85.5	70.6	71.8	60.3	49.5
1966	40.3	40.7	59.3	62.6	78.3	84.9	93.1	85.2	78.8	67.2	56.1	45.1
1967	46.5	49.6	61.4	66.9	68.4	74	84.9	84.2	77.8	69.8	54.1	39.7
1968	44.1	48.2	57.7	59.1	68.9	88.1	88.4	85.9	80.8	71.2	49.9	44.1
1969	48.3	50.1	46	67.8	73.7	75.4	90.5	89.8	80.8	52.5	52.1	43.6
1970	45.2	55.2	47.5	59.1	76.4	81.3	89.2	90.2	78.8	61.3	54	50.3
1971	40.6	42.9	52.3	62.3	68.5	87.7	88.3	89.3	74.3	67.1	54	46
1972	43	52.1	61.5	65.5	71.5	84.3	87.5	86.6	77.1	66.3	38.5	32.2
1973	33.9	40.5	47.4	56.5	69.5	83.8	87.3	90.5	74.7	69.4	52.4	41.6
1974	33.5	43.4	56	61.4	77.7	84.4	90.9	85.2	76.8	69.7	51.7	44
1975	45.1	46.3	52.4	60.7	69.1	80.8	89.4	89.8	77.7	72.7	50	47.5
1976	46.7	54.5	53.8	64.6	71.7	82.9	91	88	76.7	63.8	52	49
1977	41.5	51.5	53.5	63.6	76.1	87.8	90.7	85.5	84.1	70	52.6	48.1
1978	37.2	41.3	57.7	65.1	68.9	82.9	92.6	87.1	83.3	70.4	51.8	36
1979	28.9	46.3	52.4	63.3	68.5	82.4	90.2	85.2	83.2	70	43.9	41.8
1980	34.8	45.3	49.8	59.6	67.8	88.7	92.1	88.7	82.7	66.8	54.7	55.8
1981	50	51.6	49.6	70.6	67.5	83.9	89.5	84.9	83.1	66.1	59.1	48.5
1982	46.1	46.5	56.1	65.3	70.1	77.2	88.9	87.9	76.5	64.6	47.2	43.3
1983	38.6	46.1	46.6	53.2	65.9	76.6	89.1	89.4	83.3	69.8	51.5	26.4
1984	33.1	39.6	45.5	53.9	73.8	81.8	89.8	86.6	77.2	56.5	54.6	46.7
1985	38.4	39.1	55.1	65.2	73.7	83.7	88.3	89.9	73	66.7	43.2	39.5
1986	55	50.3	62.4	64.6	72.7	85.3	90.5	87.1	76.6	64.3	53.5	38.1
1987	40.4	47.4	50	68.3	71.5	84.3	92.2	85	77.2	67.9	50.7	40.1
1988	34.4	44.1	53.7	66.1	74.2	86.7	91.5	89.8	77.9	69.8	55	43.4
1989	47.8	34.5	60.5	68.2	75.3	79.1	90.6	86.6	78.3	66.8	57.8	38.5
1990	45.4	40.4	53.2	64.2	71.9	90.4	85.7	87	81.4	68.5	56.3	38.2
1991	40.1	54.5	55.2	61	74.6	84.5	87.3	85.6	78.4	67.9	42.5	38.6
1992	37.7	48.3	55	69.2	76.7	79.6	84.7	84.4	81.9	71.3	43.9	33.2
1993	32.9	37.1	53.8	60.9	72.9	81.9	88.7	84	76.1	63.2	46	44.9
1994	45.8	44.1	58.8	62.9	78.5	90.6	91.5	91.1	83.8	64.1	50	49.6
1995	43.5	51.4	54.8	56.2	60.8	78.1	88.8	92.3	78.3	65.5	56.3	47.8
1996	42.9	49.9	52.1	64.8	73.9	85.5	88.7	89	76.1	68.4	52	47.8
1997	40.2	45.2	60.3	57.1	73.4	85	93.4	84.6	81.7	66.9	47.4	37.7
1998	44.4	46.6	53.5	60.5	78.4	81.8	90.8	88.6	86.3	65.3	55.2	43.3
1999	46.2	54.7	60.1	56.5	68.2	79.7	91.1	86.6	75.7	69.8	64.4	46.3
2000	47.1	54.1	53.9	66.6	75.6	84.8	92.6	90.7	79.1	66.5	41.9	42.7
2001	42	44	51.4	63.2	70	85	92.2	89.3	82.8	67.9	57.2	45.6
2002	44.9	47.9	49.7	67.2	73.5	89.4	94.5	89.7	79.8	61.3	50.2	47.9
2003	50.7	41.3	52.7	66.3	72.1	77.4	97	91.1	76.8	72.4	50.2	47.4
2004	45.9	42.2	60.7	62.7	74	79	86.7	85	80.8	67.3	49.4	46.5
2005	45.7	49.3	53.7	59.1	72.1	82.4	94.4	86.6	83.5	66.8	57.7	40.1
2006	52.1	45.6	53.4	67.6	76.3	88.2	90.2	85.4	73.5	63.4	55.7	41.5
2007	28.9	37.5	59.1	60.1	72.9	83.4	92	90	80.8	69.5	57.1	37.1
2008	38.4	44.9	53.9	60.4	71.4	83.7	93.9	84.2	75.6	66.3	57.1	39.3
2009	45.8	53.8	56.8	59.7	71.5	77.6	87.1	85.6	77.1	55.4	56.1	38.1
2010	42.8	40.8	52.8	63.2	67.6	83.2	89.4	89.4	85.3	69.9	53.7	50.3
2011	42.2	41.3	58.5	62.6	65.5	84.4	92.7	93.3	78.2	66.8	54.5	39.3
2012	48.1	35.2	62.6	67.7	75.8	91.2	93.7	90.8	80.9	62.9	57.9	42.7
2013	43.5	43.2	48.2	55.6	71.5	87.2	88	88.4	79.3	59.9	53.9	43.7
2014	44.3	38.6	55.2	61.4	69.7	80.5	87.3	83.4	79.1	68	49.1	43.6
2015	42.4	44.1	55.5	62.4	62.4	81.4	86	87.9	83.6	70.3	51.3	39.7
2016	40.1	46.2	55.3	58.7	65.8	87.1	89.9	84.5	80.8	73.6	59.5	42
