Year	 Jan	 Feb	 Mar	 Apr	 May	 Jun	 Jul	 Aug	 Sep	 Oct	 Nov	 Dec
1930	-0.32	-1.69	-0.64	-2.68	1.1	-2.82	-0.04	3.07	-1.81	0.03	2.54	-0.52
1931	-0.79	1.2	0.99	-0.89	0.81	-1.78	-3.88	-2.61	-2.53	-1.73	0.28	-1.33
1932	-0.21	-1.42	-0.18	-0.93	-2.58	-0.92	-1.96	-3.3	-2.36	-0.95	-1.9	-0.47
1933	-1.33	-1.18	-1.86	3	0.84	-2.56	-1.97	3.03	1.08	-2.77	-1.95	0.72
1934	-1.53	2.85	-2.03	-2.51	-4.73	-3.98	-4.48	-4.51	-1.54	-3.1	-1.66	-1.24
1935	-1.98	-0.68	-2.94	-0.71	8.11	0	-2.74	-2.57	1.11	-1.11	-0.64	-0.86
1936	-0.69	-0.98	-1.71	-3.22	-1.46	-1.6	-3.06	0.66	1.73	0.23	-1.61	-0.53
1937	-0.81	-0.2	-0.3	-1.52	-3.55	0.99	-3.65	-4.1	-1.71	-1.41	-0.95	0.76
1938	-0.2	-0.59	-0.1	2.03	1.89	-0.44	-0.07	-1.67	6.12	-0.17	0.82	-0.28
1939	1.97	1.81	1.05	-0.87	-2.12	-1.78	-3.58	-3.05	-2.72	-1.83	-1.21	-1.17
1940	0.87	0.26	0.4	-0.76	1.81	-2.64	-1.29	-2.89	2.89	-1.96	0.14	-0.26
1941	1.16	-0.98	2.34	2.16	2.11	3.74	4.8	1.62	5.21	5.38	-0.2	0.9
1942	1.25	1.7	1.21	8.46	-0.33	4.34	0.05	0.34	2.84	5.02	-0.59	0.54
1943	0.24	-0.88	-0.24	-2.52	1.79	-1.47	-2.67	-1.42	-2.99	-1.83	-0.36	0.53
1944	2.04	-0.24	2.62	6.06	1.63	-0.07	1.78	-2.87	-2.09	-0.99	0.34	-0.78
1945	1.7	-0.09	-1.89	2.03	-0.98	0.86	-0.61	3.33	-1.15	0.01	-1.48	-0.97
1946	0.2	-0.79	-1.75	-2.91	-1.13	-3.58	0.53	1.93	-2.08	0.23	8.55	-1.09
1947	0.17	0.97	0.85	0.21	4.51	4.4	3.59	3	-0.22	1.59	0.6	0.41
1948	2.48	1.14	2.34	0.11	0.54	3.41	-0.73	0.56	-2.86	-2.01	-0.38	-0.85
1949	0.3	-0.66	0.53	-1.82	-0.47	2.44	1.21	-2.49	-2.77	0.45	-3.18	-1.41
1950	-0.66	-1.46	-2.18	-2.3	-3.11	-3.28	1.67	-2.96	1.01	-3.31	-1.11	-1.91
1951	0.11	-0.49	-0.94	-0.54	-1.58	-0.61	-2.75	-2.25	-2	1.16	0.9	-0.61
1952	-0.99	-0.5	0.93	1.23	-0.08	-4.46	-4.19	2.65	-1.96	-2.62	1.24	-0.66
1953	-1.31	-0.38	-2.08	0.31	0.48	-2.6	-2.54	-1.33	-3.83	-0.93	-0.61	0.22
1954	-0.65	-2.91	-1.06	-5.24	-1.82	-4.36	-3.33	-1.66	-1.25	-1.02	-1.94	-0.62
1955	-0.79	-0.16	-1.45	-3.62	0.62	-2.58	-4.21	0.86	-1.02	-2.58	-0.69	-1.58
1956	0.72	-0.58	-0.97	-1.5	-3.06	-4.42	-1.94	-1.22	-3.56	-2.28	1.21	-0.37
1957	-0.16	-1.91	0.04	7.4	6.7	3.29	4.49	1.73	0.81	2.03	2.92	-0.97
1958	0.31	-0.29	2.36	0.26	3.79	2.29	4.08	-1.02	0.74	-0.15	-0.72	-0.88
1959	0.81	0.44	2.11	0.84	0.1	-0.13	-2.84	-2.41	2.42	3.12	-0.21	-1.18
1960	1.38	3.07	0.6	-1.68	-0.32	-2.22	-0.63	-4.68	-1.7	3.33	-0.69	1.46
