Year	 Jan	 Feb	 Mar	 Apr	 May	 Jun	 Jul	 Aug	 Sep	 Oct	 Nov	 Dec
1930	1.35	0.65	-0.21	-1.76	-1.21	-2.03	-1.83	-0.62	-1.16	-1.03	1.11	0.82
1931	-0.26	0.82	1.07	0.66	0.86	-0.59	-1.83	-2.51	-3.09	-3.35	-2.91	-3.05
1932	-2.81	-2.99	-2.74	-2.77	-3.35	-3.31	-3.62	-4.35	-4.69	-4.52	-4.69	-4.36
1933	-4.36	-4.3	-4.48	-3.02	-2.43	-3.03	-3.38	-2.02	-1.45	-2.22	-2.65	-2.13
1934	-2.42	-1.22	-1.78	-2.43	-3.75	-4.69	-5.71	-6.62	-6.45	-6.82	-6.67	-6.4
1935	-6.4	-5.97	-6.33	-5.92	-2.6	-2.34	-3.01	-3.56	-2.82	-2.9	-2.81	-2.81
1936	-2.75	-2.8	-3.08	-3.84	-3.93	-4.06	-4.66	-3.96	-2.98	-2.59	-2.86	-2.74
1937	-2.73	-2.52	-2.36	-2.62	-3.53	-2.84	-3.76	-4.74	-4.82	-4.8	-4.62	-3.89
1938	-3.56	-3.39	-3.07	-2.08	-1.24	-1.26	-1.15	-1.59	2.22	1.93	2	1.7
1939	2.19	2.56	2.65	2.08	1.16	-1.46	-2.51	-3.27	-3.84	-4.05	-4.04	-4.01
1940	-3.31	-2.88	-2.45	-2.45	-1.59	-2.31	-2.5	-3.21	-1.91	-2.37	-2.08	-1.95
1941	-1.36	-1.55	-0.61	1.52	2.06	3.1	4.38	4.47	5.74	6.95	6.16	5.83
1942	5.64	5.63	5.45	7.71	6.81	7.56	6.79	6.21	6.52	7.52	6.55	6.05
1943	5.51	4.65	4.09	2.83	3.13	2.32	1.19	0.59	-2.77	-3.1	-2.9	-2.42
1944	-1.49	-1.42	1.48	3.34	3.54	3.16	3.42	2.11	1.2	0.75	0.78	-1.55
1945	-0.82	-0.77	-1.32	0.68	-0.33	0.54	0.28	1.36	0.84	0.75	-0.49	-1.04
1946	-0.87	-1.04	-1.52	-2.33	-2.47	-3.41	-2.88	-1.94	-2.43	-2.1	2.94	2.27
1947	2.1	2.21	2.26	2.1	3.39	4.5	5.24	5.7	5.04	5.05	4.73	4.38
1948	4.75	4.64	4.94	4.47	4.19	4.9	4.15	3.91	2.55	1.62	1.32	0.9
1949	0.91	0.6	0.71	-1.62	-1.61	-0.63	1.13	-0.83	-1.67	-1.35	-2.27	-2.5
1950	-2.47	-2.7	-3.15	-3.59	-4.26	-4.91	-3.85	-4.44	-3.64	-4.37	-4.29	-4.48
1951	-3.99	-3.74	-3.67	-3.47	-3.64	-3.47	-4.03	-4.36	-4.58	-3.72	-3.04	-2.93
1952	-2.96	-2.82	-2.22	-1.58	-1.45	-2.79	-3.9	-2.61	-3	-3.56	-2.78	-2.72
1953	-2.87	-2.71	-3.12	-2.7	-2.26	-2.89	-3.44	-3.53	-4.45	-4.3	-4.06	-3.57
1954	-3.42	-4.04	-3.98	-5.31	-5.37	-6.27	-6.73	-6.6	-6.33	-6.02	-6.05	-5.63
1955	-5.31	-4.82	-4.81	-5.52	-4.74	-5.12	-5.99	-5.09	-4.9	-5.26	-4.95	-4.96
1956	-4.21	-3.97	-3.89	-3.99	-4.59	-5.59	-5.66	-5.49	-6.11	-6.24	-5.19	-4.78
