year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1932,1.58,1.45,1.39,2.26,1.81,1.45,1.91,2.09,1.87,1.37,1.62,1.58
1933,1.43,1.29,1.19,0.96,1.22,1.83,2.04,1.39,2,3,2.75,3.68
1934,3.38,3.23,2.93,4.14,3.64,3.82,4.19,3.81,3.01,3.98,4.03,3.66
1935,3.36,3.12,2.85,2.2,1.92,4.11,4.34,4.16,3.6,3.35,3.06,2.75
1936,2.53,2.32,2.12,3.26,2.85,3.12,3.7,3.57,3.29,2.21,2.31,2.08
1937,1.9,1.74,1.63,2.08,1.72,1.14,1.73,2.86,3.06,2.98,2.83,2.56
1938,2.34,2.14,1.97,2.58,1.87,1.67,1.07,1.66,1.06,1.49,1.2,1.03
1939,0.94,0.92,0.88,1.34,1.16,1.39,2.28,2.13,2.67,3.11,3.04,3.47
1940,3.2,2.94,2.79,3.14,2.65,2.97,3.07,3.02,2.67,3.15,2.85,2.57
1941,2.38,2.2,2.1,1.67,2.29,-0.2,-0.34,-0.32,-0.37,-0.62,0.42,0.35
1942,0.36,0.35,0.35,1.56,-0.14,-0.26,-0.26,-0.32,-0.45,-0.56,0.4,0.32
1943,0.28,0.26,0.25,2.2,1.44,1.03,1.41,2.18,2.11,2.26,2.39,-0.02
1944,0,0.01,0.12,-0.45,0.91,-0.17,-0.37,0.4,0.71,1.21,1.32,-0.03
1945,-0.03,-0.03,-0.03,-0.44,0.54,-0.55,-0.77,-0.93,-1.06,0.54,0.74,0.59
1946,0.53,0.5,0.45,3.05,-0.23,-0.1,-0.18,-0.32,-0.39,-0.49,-0.57,-0.58
1947,-0.58,-0.58,-0.56,-0.72,-0.55,-0.81,-0.93,0.54,1.4,2.01,1.65,1.45
1948,1.34,1.23,1.19,2.8,2.41,2,1.79,2.29,2.92,2.92,2.66,2.38
1949,2.23,2.03,1.97,2.38,-0.14,-0.28,-0.23,-0.11,-0.07,-0.17,-0.53,1.08
1950,0.98,0.93,0.85,1.51,-0.17,-0.15,-0.52,-0.68,-0.92,2.03,1.94,-0.02
1951,-0.02,-0.02,-0.02,-0.27,0.75,-0.46,-0.51,-0.65,-0.73,-0.98,-1,-1.01
1952,-1.01,0.01,0.1,0.09,0.07,0.74,0.82,0.91,1.64,2.08,-0.08,-0.11
1953,-0.1,-0.09,-0.1,-0.39,0.46,0.92,1.12,0.61,1.46,1.83,2.02,1.8
1954,1.63,1.51,1.44,4.04,3.44,4.03,4.69,4.79,5.14,4.87,4.73,4.83
1955,4.44,4.11,3.8,4.81,4.32,3.46,4.18,4.24,4.03,4.33,3.99,3.62
1956,3.34,3.08,2.85,2.77,2.69,3.82,3.24,2.15,3.12,4.08,-0.07,-0.09
1957,-0.09,-0.08,-0.08,-0.51,-0.37,-0.5,-0.58,-0.6,-0.68,-0.83,-0.87,-0.88
1958,-0.87,-0.85,-0.81,-1.01,1.06,1.41,-0.27,0.79,1.12,1.46,1.56,1.38
1959,1.28,1.2,1.23,1.07,1.25,1.7,1.67,2.01,-0.06,-0.34,-0.33,-0.34
1960,-0.33,0.03,0.07,1.26,0.83,0.99,0.55,1.28,1.72,1.72,1.77,1.57
1961,1.41,1.3,1.31,0.74,1.57,0,-0.12,-0.15,-0.51,-0.56,-0.59,-0.62
1962,0,0,0.02,1.48,1.41,1.01,0.55,1.22,1.18,1.68,1.85,1.65
1963,1.52,1.39,1.34,2.7,2.65,2.86,3.57,2.77,3.08,4,4.06,3.68
1964,3.39,3.16,2.97,3.2,2.89,2.5,2.92,2.56,2.43,2.71,2.61,2.34
